0606 0606 0606 0606 0600 0006 0600 0606
0606 0606 0606 0606 0606 0606 0606 0606
0402 0408 0607 0503 0404 0706 0304 0307
0604 0606 0606 0606 0606 0303 0505 0505
0706 0606 0605 0506 0602 0506 0507 0606
0606 0606 0606 0607 0606 0604 0704 0607
0306 0606 0606 0506 0602 0405 0207 0606
0606 0606 0406 0607 0606 0604 0204 0706
0606 0606 0606 0606 0606 0606 0606 0606
0606 0606 0606 0606 0606 0606 0606 0606
0402 0605 0606 0206 0608 0606 0504 0806
0406 0606 0306 0902 0604 0606 1010 1205
0606 0606 0606 0a06 0606 0606 0606 0606
0606 0606 0606 0604 0606 0606 0606 0606
0606 0606 0606 0b06 0606 0606 0606 0606
0606 0606 0606 0603 0606 0606 0606 0606
